regime,n,k,m,m_over_n,m_over_nk,f_count,tb_total,run_count,F0_size_mean,F1_size_mean,d_mean,support_recall_mean,support_recall_sd_functions,support_recall_se_functions,support_precision_mean,support_precision_sd_functions,support_precision_se_functions,signed_recall_mean,signed_recall_sd_functions,signed_recall_se_functions,signed_precision_mean,signed_precision_sd_functions,signed_precision_se_functions,support_tp_total,signed_tp_total,sign_accuracy_global,sign_errors_total,sign_error_runs,sign_error_run_rate,exact_support_count,exact_signed_count,exact_support_but_not_signed,false_positives_mean,false_negatives_mean,sigma_weight_mean,sigma_weight_sd_functions,sigma_weight_se_functions,sigma_weight_median,sigma_weight_max,weight_ratio_mean,weight_ratio_median,weight_ratio_max,weight_ratio_run_median,weight_ratio_run_max,restarts_mean,restarts_median,restarts_q90,restarts_q95,restarts_q99,restarts_max,found_count,not_found_count,found_rate
kmax10,10,6,32,3.200000,0.533333,15,75,75,14.213333,17.786667,218.533333,0.648889,0.081520,0.021048,0.821984,0.098851,0.025523,0.642222,0.079149,0.020436,0.814873,0.099563,0.025707,292,289,0.989726,3,3,0.040000,0,0,0,0.960000,2.106667,4.853333,0.711002,0.183580,5.000000,8,0.808889,0.833333,1.333333,0.833333,1.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
kmax10,10,6,64,6.400000,1.066667,15,75,75,29.306667,34.693333,882.373333,0.851111,0.095008,0.024531,0.871444,0.081282,0.020987,0.848889,0.094169,0.024314,0.869540,0.082092,0.021196,383,382,0.997389,1,1,0.013333,27,27,0,0.800000,0.893333,5.906667,0.369298,0.095352,6.000000,8,0.984444,1.000000,1.333333,1.000000,1.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
kmax10,10,6,128,12.800000,2.133333,15,75,75,57.240000,70.760000,3565.133333,0.940000,0.060684,0.015669,0.955079,0.052192,0.013476,0.940000,0.060684,0.015669,0.955079,0.052192,0.013476,423,423,1.000000,0,0,0.000000,54,54,0,0.306667,0.360000,5.946667,0.396172,0.102291,6.000000,8,0.991111,1.000000,1.333333,1.000000,1.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
kmax10,50,6,32,0.640000,0.106667,15,75,75,14.346667,17.653333,214.640000,0.231111,0.072885,0.018819,0.200905,0.064637,0.016689,0.211111,0.072008,0.018592,0.186836,0.066745,0.017233,104,95,0.913462,9,9,0.120000,0,0,0,6.000000,4.613333,7.386667,0.690617,0.178317,8.000000,10,1.231111,1.333333,1.666667,1.166667,1.666667,0.173333,0.000000,1.000000,1.000000,2.260000,3,75,0,1.000000
kmax10,50,6,64,1.280000,0.213333,15,75,75,28.533333,35.466667,880.240000,0.433333,0.082616,0.021331,0.318228,0.061605,0.015906,0.426667,0.088372,0.022817,0.313561,0.065612,0.016941,195,192,0.984615,3,3,0.040000,0,0,0,5.813333,3.400000,8.413333,0.552742,0.142717,9.000000,10,1.402222,1.500000,1.666667,1.500000,1.666667,5.253333,3.000000,12.000000,16.900000,25.940000,40,75,0,1.000000
kmax10,50,6,128,2.560000,0.426667,15,75,75,57.320000,70.680000,3542.200000,0.720000,0.123314,0.031840,0.559270,0.130425,0.033675,0.720000,0.123314,0.031840,0.559270,0.130425,0.033675,324,324,1.000000,0,0,0.000000,8,8,0,3.853333,1.680000,8.173333,0.704543,0.181912,9.000000,10,1.362222,1.500000,1.666667,1.333333,1.666667,149.093333,65.000000,316.400000,515.700000,1190.260000,1561,75,0,1.000000
kmax10,100,6,32,0.320000,0.053333,15,75,75,14.080000,17.920000,211.280000,0.126667,0.073679,0.019024,0.108635,0.067177,0.017345,0.106667,0.072594,0.018744,0.092974,0.066029,0.017049,57,48,0.842105,9,9,0.120000,0,0,0,6.773333,5.240000,7.533333,0.578997,0.149497,8.000000,10,1.255556,1.333333,1.666667,1.333333,1.666667,0.373333,0.000000,1.000000,2.000000,3.000000,3,75,0,1.000000
kmax10,100,6,64,0.640000,0.106667,15,75,75,27.720000,36.280000,866.493333,0.322222,0.094000,0.024271,0.238164,0.071391,0.018433,0.317778,0.095839,0.024746,0.234593,0.072286,0.018664,145,143,0.986207,2,2,0.026667,0,0,0,6.520000,4.066667,8.453333,0.520805,0.134471,9.000000,10,1.408889,1.500000,1.666667,1.500000,1.666667,26.266667,12.000000,72.800000,106.400000,167.340000,174,75,0,1.000000
kmax10,100,6,128,1.280000,0.213333,15,75,75,56.306667,71.693333,3552.226667,0.657778,0.125019,0.032280,0.483841,0.120981,0.031237,0.655556,0.125145,0.032312,0.482360,0.121603,0.031398,296,295,0.996622,1,1,0.013333,3,3,0,4.666667,2.053333,8.613333,0.975314,0.251825,9.000000,10,1.435556,1.500000,1.666667,1.500000,1.666667,5613.240000,803.000000,14218.600000,28389.300000,52174.440000,68672,75,0,1.000000
unrestricted,10,2,2,0.200000,0.100000,15,75,75,1.000000,1.000000,1.000000,0.180000,0.101419,0.026186,0.360000,0.202837,0.052372,0.180000,0.101419,0.026186,0.360000,0.202837,0.052372,27,27,1.000000,0,0,0.000000,0,0,0,0.640000,1.640000,1.000000,0.000000,0.000000,1.000000,1,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
