node,n,k,m,tb,dataset_id,dataset_seed,F0_size,F1_size,d,support_true,signs_true,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
Rho,18,3,16,14,53,17248,13,3,39,"[6,9,12]","[1,-1,-1]",3,"[5,10,12]","[-1,-1,-1]",0,True
rock,18,1,16,14,53,17248,8,8,64,[10],[1],1,[10],[1],0,True
GDI,18,1,16,14,53,17248,11,5,55,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,14,53,17248,10,6,60,"[11,13,14]","[1,1,-1]",4,"[1,7,12,14]","[-1,-1,1,-1]",0,True
mlcp,18,1,16,14,53,17248,8,8,64,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,14,53,17248,12,4,48,"[11,14,15]","[1,-1,1]",4,"[6,8,11,14]","[-1,1,1,-1]",0,True
Actin,18,2,16,14,53,17248,12,4,48,"[13,16]","[1,1]",5,"[2,3,13,15,17]","[1,1,1,-1,1]",0,True
Twi,18,2,16,15,54,17249,3,13,39,"[0,1]","[1,1]",3,"[1,4,12]","[1,1,1]",0,True
Sna,18,1,16,15,54,17249,10,6,60,[0],[1],5,"[2,7,9,10,17]","[-1,-1,-1,1,-1]",0,True
Fog,18,2,16,15,54,17249,2,14,28,"[1,2]","[1,1]",4,"[8,9,10,14]","[1,-1,-1,1]",0,True
FogR,18,1,16,15,54,17249,9,7,63,[3],[1],6,"[0,6,8,11,12,13]","[1,-1,-1,1,1,-1]",0,True
Cta,18,1,16,15,54,17249,7,9,63,[4],[1],1,[4],[1],0,True
GEF,18,1,16,15,54,17249,9,7,63,[5],[1],1,[5],[1],0,True
Csk,18,1,16,15,54,17249,9,7,63,[5],[1],1,[5],[1],0,True
Src,18,1,16,15,54,17249,12,4,48,[7],[-1],5,"[2,3,6,11,15]","[1,1,1,1,-1]",0,True
GAP,18,2,16,15,54,17249,3,13,39,"[8,9]","[1,1]",5,"[3,5,9,11,15]","[-1,1,1,1,-1]",0,True
Rho,18,3,16,15,54,17249,15,1,15,"[6,9,12]","[1,-1,-1]",3,"[2,6,9]","[1,1,-1]",0,True
rock,18,1,16,15,54,17249,10,6,60,[10],[1],3,"[2,3,4]","[-1,1,1]",0,True
GDI,18,1,16,15,54,17249,10,6,60,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,15,54,17249,13,3,39,"[11,13,14]","[1,1,-1]",5,"[3,4,5,8,17]","[-1,1,-1,1,-1]",0,True
mlcp,18,1,16,15,54,17249,7,9,63,[11],[-1],6,"[2,5,8,13,14,17]","[1,1,-1,1,-1,1]",0,True
mlc,18,3,16,15,54,17249,14,2,28,"[11,14,15]","[1,-1,1]",5,"[3,5,12,14,17]","[1,1,-1,-1,1]",0,True
Actin,18,2,16,15,54,17249,12,4,48,"[13,16]","[1,1]",2,"[13,16]","[1,1]",0,True
Twi,18,2,16,16,55,17250,5,11,55,"[0,1]","[1,1]",4,"[1,6,9,14]","[1,-1,1,1]",0,True
Sna,18,1,16,16,55,17250,9,7,63,[0],[1],1,[0],[1],0,True
Fog,18,2,16,16,55,17250,2,14,28,"[1,2]","[1,1]",4,"[1,5,7,15]","[1,1,1,-1]",0,True
FogR,18,1,16,16,55,17250,8,8,64,[3],[1],1,[3],[1],0,True
Cta,18,1,16,16,55,17250,10,6,60,[4],[1],1,[4],[1],0,True
GEF,18,1,16,16,55,17250,10,6,60,[5],[1],1,[5],[1],0,True
Csk,18,1,16,16,55,17250,10,6,60,[5],[1],1,[5],[1],0,True
Src,18,1,16,16,55,17250,8,8,64,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,16,55,17250,3,13,39,"[8,9]","[1,1]",3,"[9,14,15]","[1,-1,1]",0,True
Rho,18,3,16,16,55,17250,14,2,28,"[6,9,12]","[1,-1,-1]",4,"[0,7,9,15]","[1,1,-1,-1]",0,True
rock,18,1,16,16,55,17250,9,7,63,[10],[1],6,"[1,4,9,11,14,15]","[1,-1,-1,1,-1,-1]",0,True
GDI,18,1,16,16,55,17250,9,7,63,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,16,55,17250,14,2,28,"[11,13,14]","[1,1,-1]",3,"[6,11,13]","[1,1,1]",0,True
mlcp,18,1,16,16,55,17250,9,7,63,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,16,55,17250,12,4,48,"[11,14,15]","[1,-1,1]",4,"[9,11,12,15]","[1,1,-1,1]",0,True
Actin,18,2,16,16,55,17250,12,4,48,"[13,16]","[1,1]",2,"[13,16]","[1,1]",0,True
Twi,18,2,16,17,56,17251,4,12,48,"[0,1]","[1,1]",4,"[5,6,15,17]","[-1,1,1,-1]",0,True
Sna,18,1,16,17,56,17251,6,10,60,[0],[1],1,[0],[1],0,True
Fog,18,2,16,17,56,17251,6,10,60,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,16,17,56,17251,9,7,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,17,56,17251,7,9,63,[4],[1],1,[4],[1],0,True
GEF,18,1,16,17,56,17251,6,10,60,[5],[1],1,[5],[1],0,True
Csk,18,1,16,17,56,17251,6,10,60,[5],[1],1,[5],[1],0,True
Src,18,1,16,17,56,17251,8,8,64,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,17,56,17251,6,10,60,"[8,9]","[1,1]",3,"[9,10,13]","[1,-1,1]",0,True
Rho,18,3,16,17,56,17251,12,4,48,"[6,9,12]","[1,-1,-1]",2,"[6,12]","[1,-1]",0,True
rock,18,1,16,17,56,17251,5,11,55,[10],[1],7,"[1,4,6,8,11,14,16]","[1,1,1,-1,-1,-1,1]",0,True
GDI,18,1,16,17,56,17251,8,8,64,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,17,56,17251,13,3,39,"[11,13,14]","[1,1,-1]",2,"[12,14]","[1,-1]",0,True
mlcp,18,1,16,17,56,17251,10,6,60,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,17,56,17251,13,3,39,"[11,14,15]","[1,-1,1]",6,"[0,1,3,8,13,17]","[-1,1,1,1,-1,-1]",0,True
Actin,18,2,16,17,56,17251,14,2,28,"[13,16]","[1,1]",3,"[4,9,13]","[-1,-1,1]",0,True
Twi,18,2,16,18,57,17252,1,15,15,"[0,1]","[1,1]",3,"[8,11,12]","[1,1,1]",0,True
Sna,18,1,16,18,57,17252,9,7,63,[0],[1],1,[0],[1],0,True
Fog,18,2,16,18,57,17252,1,15,15,"[1,2]","[1,1]",3,"[0,3,6]","[1,1,1]",0,True
FogR,18,1,16,18,57,17252,9,7,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,18,57,17252,12,4,48,[4],[1],1,[4],[1],0,True
GEF,18,1,16,18,57,17252,9,7,63,[5],[1],1,[5],[1],0,True
Csk,18,1,16,18,57,17252,9,7,63,[5],[1],1,[5],[1],0,True
Src,18,1,16,18,57,17252,7,9,63,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,18,57,17252,5,11,55,"[8,9]","[1,1]",7,"[1,2,3,4,7,9,14]","[1,-1,1,-1,-1,1,1]",0,True
Rho,18,3,16,18,57,17252,14,2,28,"[6,9,12]","[1,-1,-1]",4,"[6,7,10,16]","[1,-1,1,1]",0,True
rock,18,1,16,18,57,17252,10,6,60,[10],[1],7,"[0,3,5,7,11,16,17]","[1,-1,-1,1,1,1,1]",0,True
GDI,18,1,16,18,57,17252,6,10,60,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,18,57,17252,14,2,28,"[11,13,14]","[1,1,-1]",4,"[0,6,7,13]","[-1,-1,-1,1]",0,True
mlcp,18,1,16,18,57,17252,8,8,64,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,18,57,17252,15,1,15,"[11,14,15]","[1,-1,1]",4,"[1,5,8,10]","[1,1,-1,-1]",0,True
Actin,18,2,16,18,57,17252,15,1,15,"[13,16]","[1,1]",4,"[3,7,16,17]","[-1,-1,1,1]",0,True
Twi,18,2,16,19,58,17253,5,11,55,"[0,1]","[1,1]",2,"[0,1]","[1,1]",0,True
Sna,18,1,16,19,58,17253,10,6,60,[0],[1],1,[0],[1],0,True
Fog,18,2,16,19,58,17253,3,13,39,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,16,19,58,17253,7,9,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,19,58,17253,11,5,55,[4],[1],5,"[2,3,8,10,14]","[1,-1,1,1,1]",0,True
GEF,18,1,16,19,58,17253,8,8,64,[5],[1],1,[5],[1],0,True
Csk,18,1,16,19,58,17253,8,8,64,[5],[1],1,[5],[1],0,True
Src,18,1,16,19,58,17253,7,9,63,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,19,58,17253,5,11,55,"[8,9]","[1,1]",3,"[5,9,11]","[-1,1,1]",0,True
Rho,18,3,16,19,58,17253,13,3,39,"[6,9,12]","[1,-1,-1]",2,"[9,12]","[-1,-1]",0,True
rock,18,1,16,19,58,17253,5,11,55,[10],[1],1,[10],[1],0,True
GDI,18,1,16,19,58,17253,5,11,55,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,19,58,17253,14,2,28,"[11,13,14]","[1,1,-1]",3,"[7,13,15]","[1,1,1]",0,True
mlcp,18,1,16,19,58,17253,7,9,63,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,19,58,17253,13,3,39,"[11,14,15]","[1,-1,1]",4,"[5,11,13,15]","[1,1,1,1]",0,True
Actin,18,2,16,19,58,17253,13,3,39,"[13,16]","[1,1]",5,"[0,4,7,10,15]","[-1,-1,1,1,-1]",0,True
Twi,18,2,16,20,59,17254,3,13,39,"[0,1]","[1,1]",4,"[0,7,9,12]","[1,-1,1,-1]",0,True
Sna,18,1,16,20,59,17254,7,9,63,[0],[1],4,"[5,11,12,17]","[1,-1,1,1]",0,True
Fog,18,2,16,20,59,17254,1,15,15,"[1,2]","[1,1]",3,"[0,10,11]","[1,1,-1]",0,True
FogR,18,1,16,20,59,17254,7,9,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,20,59,17254,10,6,60,[4],[1],3,"[0,10,17]","[-1,-1,-1]",0,True
GEF,18,1,16,20,59,17254,7,9,63,[5],[1],1,[5],[1],0,True
Csk,18,1,16,20,59,17254,7,9,63,[5],[1],1,[5],[1],0,True
Src,18,1,16,20,59,17254,9,7,63,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,20,59,17254,1,15,15,"[8,9]","[1,1]",2,"[5,15]","[-1,1]",0,True
Rho,18,3,16,20,59,17254,14,2,28,"[6,9,12]","[1,-1,-1]",3,"[6,15,16]","[1,1,-1]",0,True
rock,18,1,16,20,59,17254,8,8,64,[10],[1],1,[10],[1],0,True
GDI,18,1,16,20,59,17254,10,6,60,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,20,59,17254,12,4,48,"[11,13,14]","[1,1,-1]",4,"[5,7,11,14]","[1,1,1,-1]",0,True
mlcp,18,1,16,20,59,17254,9,7,63,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,20,59,17254,14,2,28,"[11,14,15]","[1,-1,1]",4,"[0,5,6,9]","[-1,-1,1,1]",0,True
Actin,18,2,16,20,59,17254,11,5,55,"[13,16]","[1,1]",2,"[11,16]","[1,1]",0,True
Twi,18,2,32,1,60,33235,11,21,231,"[0,1]","[1,1]",2,"[0,1]","[1,1]",0,True
Sna,18,1,32,1,60,33235,19,13,247,[0],[1],1,[0],[1],0,True
Fog,18,2,32,1,60,33235,11,21,231,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,32,1,60,33235,14,18,252,[3],[1],1,[3],[1],0,True
Cta,18,1,32,1,60,33235,13,19,247,[4],[1],1,[4],[1],0,True
GEF,18,1,32,1,60,33235,16,16,256,[5],[1],1,[5],[1],0,True
Csk,18,1,32,1,60,33235,16,16,256,[5],[1],1,[5],[1],0,True
Src,18,1,32,1,60,33235,14,18,252,[7],[-1],1,[7],[-1],0,True
GAP,18,2,32,1,60,33235,10,22,220,"[8,9]","[1,1]",7,"[1,3,5,8,11,12,13]","[1,1,-1,1,-1,-1,1]",0,True
Rho,18,3,32,1,60,33235,29,3,87,"[6,9,12]","[1,-1,-1]",7,"[4,5,7,8,11,12,13]","[-1,-1,-1,-1,-1,-1,-1]",0,True
rock,18,1,32,1,60,33235,20,12,240,[10],[1],1,[10],[1],0,True
GDI,18,1,32,1,60,33235,17,15,255,[13],[-1],1,[13],[-1],0,True
Moe,18,3,32,1,60,33235,28,4,112,"[11,13,14]","[1,1,-1]",7,"[1,3,8,12,14,15,17]","[-1,1,-1,1,-1,1,1]",0,True
mlcp,18,1,32,1,60,33235,21,11,231,[11],[-1],1,[11],[-1],0,True
mlc,18,3,32,1,60,33235,26,6,156,"[11,14,15]","[1,-1,1]",7,"[4,5,9,10,15,16,17]","[1,-1,-1,-1,1,-1,-1]",0,True
Actin,18,2,32,1,60,33235,24,8,192,"[13,16]","[1,1]",2,"[13,16]","[1,1]",0,True
Twi,18,2,32,2,61,33236,8,24,192,"[0,1]","[1,1]",2,"[0,1]","[1,1]",0,True
Sna,18,1,32,2,61,33236,17,15,255,[0],[1],1,[0],[1],0,True
Fog,18,2,32,2,61,33236,13,19,247,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,32,2,61,33236,13,19,247,[3],[1],1,[3],[1],0,True
Cta,18,1,32,2,61,33236,17,15,255,[4],[1],8,"[0,2,5,9,10,11,13,17]","[-1,1,1,-1,-1,-1,1,-1]",0,True
GEF,18,1,32,2,61,33236,17,15,255,[5],[1],1,[5],[1],0,True
Csk,18,1,32,2,61,33236,17,15,255,[5],[1],1,[5],[1],0,True
Src,18,1,32,2,61,33236,14,18,252,[7],[-1],1,[7],[-1],0,True
GAP,18,2,32,2,61,33236,6,26,156,"[8,9]","[1,1]",8,"[0,3,5,9,10,12,13,14]","[1,-1,1,1,1,1,-1,-1]",0,True
Rho,18,3,32,2,61,33236,29,3,87,"[6,9,12]","[1,-1,-1]",4,"[2,6,12,17]","[-1,1,-1,-1]",0,True
rock,18,1,32,2,61,33236,19,13,247,[10],[1],1,[10],[1],0,True
GDI,18,1,32,2,61,33236,11,21,231,[13],[-1],1,[13],[-1],0,True
Moe,18,3,32,2,61,33236,29,3,87,"[11,13,14]","[1,1,-1]",6,"[0,1,2,4,9,17]","[-1,1,1,-1,-1,1]",0,True
mlcp,18,1,32,2,61,33236,18,14,252,[11],[-1],1,[11],[-1],0,True
mlc,18,3,32,2,61,33236,24,8,192,"[11,14,15]","[1,-1,1]",5,"[4,9,10,11,14]","[-1,-1,1,1,-1]",0,True
Actin,18,2,32,2,61,33236,26,6,156,"[13,16]","[1,1]",2,"[13,16]","[1,1]",0,True
Twi,18,2,32,3,62,33237,6,26,156,"[0,1]","[1,1]",2,"[0,1]","[1,1]",0,True
Sna,18,1,32,3,62,33237,16,16,256,[0],[1],1,[0],[1],0,True
Fog,18,2,32,3,62,33237,8,24,192,"[1,2]","[1,1]",4,"[2,4,5,15]","[1,1,1,1]",0,True
FogR,18,1,32,3,62,33237,21,11,231,[3],[1],1,[3],[1],0,True
Cta,18,1,32,3,62,33237,12,20,240,[4],[1],1,[4],[1],0,True
GEF,18,1,32,3,62,33237,17,15,255,[5],[1],1,[5],[1],0,True
Csk,18,1,32,3,62,33237,17,15,255,[5],[1],1,[5],[1],0,True
Src,18,1,32,3,62,33237,18,14,252,[7],[-1],1,[7],[-1],0,True
GAP,18,2,32,3,62,33237,6,26,156,"[8,9]","[1,1]",5,"[1,5,8,11,15]","[1,-1,1,1,-1]",0,True
Rho,18,3,32,3,62,33237,27,5,135,"[6,9,12]","[1,-1,-1]",6,"[2,3,4,6,9,17]","[1,1,1,1,-1,1]",0,True
rock,18,1,32,3,62,33237,18,14,252,[10],[1],1,[10],[1],0,True
GDI,18,1,32,3,62,33237,13,19,247,[13],[-1],1,[13],[-1],0,True
Moe,18,3,32,3,62,33237,29,3,87,"[11,13,14]","[1,1,-1]",4,"[7,8,12,13]","[1,1,-1,1]",0,True
mlcp,18,1,32,3,62,33237,16,16,256,[11],[-1],1,[11],[-1],0,True
mlc,18,3,32,3,62,33237,27,5,135,"[11,14,15]","[1,-1,1]",3,"[0,4,14]","[-1,-1,-1]",0,True
Actin,18,2,32,3,62,33237,26,6,156,"[13,16]","[1,1]",5,"[3,4,5,9,13]","[1,1,-1,1,1]",0,True
Twi,18,2,32,4,63,33238,12,20,240,"[0,1]","[1,1]",6,"[0,7,11,12,15,17]","[1,1,1,-1,1,-1]",0,True
Sna,18,1,32,4,63,33238,18,14,252,[0],[1],1,[0],[1],0,True
Fog,18,2,32,4,63,33238,8,24,192,"[1,2]","[1,1]",5,"[0,1,3,4,11]","[-1,1,1,-1,-1]",0,True
FogR,18,1,32,4,63,33238,16,16,256,[3],[1],7,"[0,1,2,8,9,10,15]","[-1,1,1,1,1,1,-1]",0,True
Cta,18,1,32,4,63,33238,15,17,255,[4],[1],1,[4],[1],0,True
GEF,18,1,32,4,63,33238,11,21,231,[5],[1],1,[5],[1],0,True
Csk,18,1,32,4,63,33238,11,21,231,[5],[1],1,[5],[1],0,True
Src,18,1,32,4,63,33238,18,14,252,[7],[-1],1,[7],[-1],0,True
GAP,18,2,32,4,63,33238,8,24,192,"[8,9]","[1,1]",6,"[1,7,8,12,16,17]","[-1,-1,1,1,1,-1]",0,True
Rho,18,3,32,4,63,33238,26,6,156,"[6,9,12]","[1,-1,-1]",5,"[2,6,7,12,17]","[1,1,-1,-1,1]",0,True
rock,18,1,32,4,63,33238,16,16,256,[10],[1],1,[10],[1],0,True
GDI,18,1,32,4,63,33238,13,19,247,[13],[-1],1,[13],[-1],0,True
Moe,18,3,32,4,63,33238,28,4,112,"[11,13,14]","[1,1,-1]",4,"[9,13,14,16]","[-1,1,-1,1]",0,True
mlcp,18,1,32,4,63,33238,19,13,247,[11],[-1],1,[11],[-1],0,True
mlc,18,3,32,4,63,33238,26,6,156,"[11,14,15]","[1,-1,1]",5,"[2,3,12,14,15]","[-1,-1,1,-1,1]",0,True
Actin,18,2,32,4,63,33238,29,3,87,"[13,16]","[1,1]",4,"[0,1,12,13]","[1,-1,1,1]",0,True
Twi,18,2,32,5,64,33239,7,25,175,"[0,1]","[1,1]",2,"[0,1]","[1,1]",0,True
Sna,18,1,32,5,64,33239,16,16,256,[0],[1],1,[0],[1],0,True
Fog,18,2,32,5,64,33239,7,25,175,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,32,5,64,33239,15,17,255,[3],[1],1,[3],[1],0,True
Cta,18,1,32,5,64,33239,20,12,240,[4],[1],1,[4],[1],0,True
GEF,18,1,32,5,64,33239,12,20,240,[5],[1],1,[5],[1],0,True
Csk,18,1,32,5,64,33239,12,20,240,[5],[1],1,[5],[1],0,True
Src,18,1,32,5,64,33239,20,12,240,[7],[-1],1,[7],[-1],0,True
GAP,18,2,32,5,64,33239,8,24,192,"[8,9]","[1,1]",4,"[1,8,11,17]","[1,1,-1,-1]",0,True
Rho,18,3,32,5,64,33239,26,6,156,"[6,9,12]","[1,-1,-1]",5,"[2,3,6,10,14]","[-1,1,1,1,-1]",0,True
rock,18,1,32,5,64,33239,15,17,255,[10],[1],1,[10],[1],0,True
GDI,18,1,32,5,64,33239,10,22,220,[13],[-1],1,[13],[-1],0,True
Moe,18,3,32,5,64,33239,31,1,31,"[11,13,14]","[1,1,-1]",3,"[6,8,14]","[1,-1,-1]",0,True
mlcp,18,1,32,5,64,33239,17,15,255,[11],[-1],1,[11],[-1],0,True
mlc,18,3,32,5,64,33239,31,1,31,"[11,14,15]","[1,-1,1]",3,"[6,7,10]","[-1,-1,1]",0,True
Actin,18,2,32,5,64,33239,27,5,135,"[13,16]","[1,1]",4,"[0,12,13,17]","[1,1,1,1]",0,True
Twi,18,2,32,6,65,33240,6,26,156,"[0,1]","[1,1]",5,"[0,5,9,11,12]","[1,1,1,1,-1]",0,True
Sna,18,1,32,6,65,33240,12,20,240,[0],[1],1,[0],[1],0,True
Fog,18,2,32,6,65,33240,13,19,247,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,32,6,65,33240,12,20,240,[3],[1],1,[3],[1],0,True
Cta,18,1,32,6,65,33240,18,14,252,[4],[1],1,[4],[1],0,True
GEF,18,1,32,6,65,33240,13,19,247,[5],[1],1,[5],[1],0,True
Csk,18,1,32,6,65,33240,13,19,247,[5],[1],1,[5],[1],0,True
Src,18,1,32,6,65,33240,18,14,252,[7],[-1],1,[7],[-1],0,True
GAP,18,2,32,6,65,33240,7,25,175,"[8,9]","[1,1]",2,"[8,9]","[1,1]",0,True
Rho,18,3,32,6,65,33240,30,2,60,"[6,9,12]","[1,-1,-1]",4,"[0,1,9,14]","[-1,1,-1,-1]",0,True
rock,18,1,32,6,65,33240,18,14,252,[10],[1],1,[10],[1],0,True
GDI,18,1,32,6,65,33240,18,14,252,[13],[-1],1,[13],[-1],0,True
Moe,18,3,32,6,65,33240,29,3,87,"[11,13,14]","[1,1,-1]",3,"[8,11,14]","[-1,1,-1]",0,True
mlcp,18,1,32,6,65,33240,16,16,256,[11],[-1],1,[11],[-1],0,True
mlc,18,3,32,6,65,33240,30,2,60,"[11,14,15]","[1,-1,1]",4,"[3,6,7,17]","[-1,1,1,-1]",0,True
Actin,18,2,32,6,65,33240,21,11,231,"[13,16]","[1,1]",6,"[1,2,4,12,13,17]","[1,-1,-1,1,1,-1]",0,True
Twi,18,2,32,7,66,33241,10,22,220,"[0,1]","[1,1]",4,"[0,5,10,11]","[1,1,-1,1]",0,True
Sna,18,1,32,7,66,33241,14,18,252,[0],[1],1,[0],[1],0,True
Fog,18,2,32,7,66,33241,9,23,207,"[1,2]","[1,1]",7,"[1,4,10,12,14,15,16]","[1,-1,-1,1,-1,1,1]",0,True
FogR,18,1,32,7,66,33241,16,16,256,[3],[1],1,[3],[1],0,True
Cta,18,1,32,7,66,33241,15,17,255,[4],[1],1,[4],[1],0,True
GEF,18,1,32,7,66,33241,14,18,252,[5],[1],1,[5],[1],0,True
Csk,18,1,32,7,66,33241,14,18,252,[5],[1],1,[5],[1],0,True
Src,18,1,32,7,66,33241,16,16,256,[7],[-1],1,[7],[-1],0,True
GAP,18,2,32,7,66,33241,6,26,156,"[8,9]","[1,1]",2,"[8,9]","[1,1]",0,True
Rho,18,3,32,7,66,33241,30,2,60,"[6,9,12]","[1,-1,-1]",3,"[6,8,10]","[1,-1,1]",0,True
rock,18,1,32,7,66,33241,17,15,255,[10],[1],1,[10],[1],0,True
GDI,18,1,32,7,66,33241,17,15,255,[13],[-1],1,[13],[-1],0,True
Moe,18,3,32,7,66,33241,27,5,135,"[11,13,14]","[1,1,-1]",7,"[0,1,4,6,10,11,13]","[1,-1,-1,1,-1,1,1]",0,True
mlcp,18,1,32,7,66,33241,21,11,231,[11],[-1],1,[11],[-1],0,True
mlc,18,3,32,7,66,33241,29,3,87,"[11,14,15]","[1,-1,1]",3,"[11,14,15]","[1,-1,1]",0,True
Actin,18,2,32,7,66,33241,25,7,175,"[13,16]","[1,1]",2,"[13,16]","[1,1]",0,True
Twi,18,2,32,8,67,33242,10,22,220,"[0,1]","[1,1]",2,"[0,1]","[1,1]",0,True
Sna,18,1,32,8,67,33242,19,13,247,[0],[1],1,[0],[1],0,True
Fog,18,2,32,8,67,33242,12,20,240,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,32,8,67,33242,19,13,247,[3],[1],1,[3],[1],0,True
Cta,18,1,32,8,67,33242,17,15,255,[4],[1],1,[4],[1],0,True
GEF,18,1,32,8,67,33242,18,14,252,[5],[1],1,[5],[1],0,True
Csk,18,1,32,8,67,33242,18,14,252,[5],[1],1,[5],[1],0,True
Src,18,1,32,8,67,33242,17,15,255,[7],[-1],1,[7],[-1],0,True
GAP,18,2,32,8,67,33242,7,25,175,"[8,9]","[1,1]",2,"[8,9]","[1,1]",0,True
Rho,18,3,32,8,67,33242,29,3,87,"[6,9,12]","[1,-1,-1]",4,"[1,3,10,14]","[1,-1,1,1]",0,True
rock,18,1,32,8,67,33242,18,14,252,[10],[1],1,[10],[1],0,True
GDI,18,1,32,8,67,33242,17,15,255,[13],[-1],1,[13],[-1],0,True
Moe,18,3,32,8,67,33242,30,2,60,"[11,13,14]","[1,1,-1]",4,"[10,11,12,15]","[-1,1,-1,-1]",0,True
mlcp,18,1,32,8,67,33242,17,15,255,[11],[-1],1,[11],[-1],0,True
mlc,18,3,32,8,67,33242,31,1,31,"[11,14,15]","[1,-1,1]",3,"[5,10,12]","[1,1,-1]",0,True
Actin,18,2,32,8,67,33242,21,11,231,"[13,16]","[1,1]",6,"[2,3,4,8,14,16]","[-1,-1,-1,1,-1,1]",0,True
Twi,18,2,32,9,68,33243,6,26,156,"[0,1]","[1,1]",5,"[1,4,5,6,9]","[1,-1,-1,1,1]",0,True
Sna,18,1,32,9,68,33243,12,20,240,[0],[1],1,[0],[1],0,True
Fog,18,2,32,9,68,33243,8,24,192,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,32,9,68,33243,17,15,255,[3],[1],1,[3],[1],0,True
Cta,18,1,32,9,68,33243,18,14,252,[4],[1],1,[4],[1],0,True
GEF,18,1,32,9,68,33243,17,15,255,[5],[1],1,[5],[1],0,True
Csk,18,1,32,9,68,33243,17,15,255,[5],[1],9,"[0,3,6,8,10,13,14,15,17]","[-1,1,1,-1,1,-1,1,1,1]",0,True
Src,18,1,32,9,68,33243,17,15,255,[7],[-1],1,[7],[-1],0,True
GAP,18,2,32,9,68,33243,10,22,220,"[8,9]","[1,1]",2,"[8,9]","[1,1]",0,True
Rho,18,3,32,9,68,33243,26,6,156,"[6,9,12]","[1,-1,-1]",6,"[6,7,10,12,14,15]","[1,1,-1,-1,-1,-1]",0,True
rock,18,1,32,9,68,33243,17,15,255,[10],[1],1,[10],[1],0,True
GDI,18,1,32,9,68,33243,15,17,255,[13],[-1],1,[13],[-1],0,True
Moe,18,3,32,9,68,33243,30,2,60,"[11,13,14]","[1,1,-1]",5,"[1,2,7,9,17]","[1,1,-1,1,-1]",0,True
mlcp,18,1,32,9,68,33243,14,18,252,[11],[-1],1,[11],[-1],0,True
mlc,18,3,32,9,68,33243,27,5,135,"[11,14,15]","[1,-1,1]",2,"[11,14]","[1,-1]",0,True
Actin,18,2,32,9,68,33243,24,8,192,"[13,16]","[1,1]",7,"[0,2,3,4,9,14,16]","[-1,1,1,1,-1,-1,1]",0,True
Twi,18,2,32,10,69,33244,7,25,175,"[0,1]","[1,1]",5,"[1,5,7,12,14]","[1,-1,-1,-1,1]",0,True
Sna,18,1,32,10,69,33244,14,18,252,[0],[1],6,"[4,7,9,10,11,15]","[1,-1,1,1,-1,1]",0,True
Fog,18,2,32,10,69,33244,6,26,156,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,32,10,69,33244,16,16,256,[3],[1],1,[3],[1],0,True
Cta,18,1,32,10,69,33244,18,14,252,[4],[1],1,[4],[1],0,True
GEF,18,1,32,10,69,33244,17,15,255,[5],[1],1,[5],[1],0,True
Csk,18,1,32,10,69,33244,17,15,255,[5],[1],8,"[1,2,4,6,7,8,9,15]","[-1,1,1,1,-1,-1,-1,1]",0,True
Src,18,1,32,10,69,33244,12,20,240,[7],[-1],1,[7],[-1],0,True
GAP,18,2,32,10,69,33244,8,24,192,"[8,9]","[1,1]",8,"[0,1,8,10,11,12,13,14]","[1,1,1,-1,1,-1,-1,-1]",0,True
Rho,18,3,32,10,69,33244,29,3,87,"[6,9,12]","[1,-1,-1]",6,"[0,1,8,12,13,17]","[-1,1,-1,-1,1,-1]",0,True
rock,18,1,32,10,69,33244,15,17,255,[10],[1],1,[10],[1],0,True
