n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
50,4,32,3,3,41237,4031284,403504437,17,15,255,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",8,"[8,9,26,30,31,42,46,47]","[1,1,1,1,-1,-1,1,-1]",0,True
50,4,32,3,4,41237,4031284,403504438,19,13,247,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",8,"[7,8,12,22,26,33,34,49]","[-1,-1,1,-1,-1,-1,-1,1]",0,True
50,4,32,3,5,41237,4031284,403504439,22,10,220,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",7,"[7,17,28,35,41,45,46]","[1,1,1,-1,1,1,1]",0,True
100,4,8,3,1,41237,4031334,404002035,3,5,15,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",3,"[27,29,98]","[1,-1,-1]",0,True
100,4,8,3,2,41237,4031334,404002036,4,4,16,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[10,62,67,82]","[-1,1,1,-1]",0,True
100,4,8,3,3,41237,4031334,404002037,5,3,15,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[26,55,81,82]","[1,1,1,1]",0,True
100,4,8,3,4,41237,4031334,404002038,7,1,7,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",2,"[53,54]","[1,-1]",0,True
100,4,8,3,5,41237,4031334,404002039,5,3,15,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",2,"[21,96]","[1,1]",0,True
100,4,16,3,1,41237,4031334,404002835,13,3,39,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",6,"[9,20,32,40,49,98]","[1,1,1,1,1,1]",0,True
100,4,16,3,2,41237,4031334,404002836,11,5,55,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",5,"[4,44,46,58,65]","[1,1,-1,-1,1]",0,True
