n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,k_max_used,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
50,2,2,2,5,21236,2021284,202501439,10,1,1,1,"[17,39]","[-1,-1]",[3],"[[0,1]]",1,[8],[-1],0,True
50,2,4,2,1,21236,2021284,202501635,10,2,2,4,"[17,39]","[-1,-1]",[3],"[[0,1]]",2,"[26,46]","[-1,1]",0,True
50,2,4,2,2,21236,2021284,202501636,10,3,1,3,"[17,39]","[-1,-1]",[3],"[[0,1]]",2,"[2,5]","[1,-1]",0,True
50,2,4,2,3,21236,2021284,202501637,10,3,1,3,"[17,39]","[-1,-1]",[3],"[[0,1]]",2,"[17,22]","[-1,1]",0,True
50,2,4,2,4,21236,2021284,202501638,10,2,2,4,"[17,39]","[-1,-1]",[3],"[[0,1]]",1,[33],[1],0,True
50,2,4,2,5,21236,2021284,202501639,10,3,1,3,"[17,39]","[-1,-1]",[3],"[[0,1]]",2,"[23,41]","[-1,-1]",0,True
50,2,8,2,1,21236,2021284,202502035,10,7,1,7,"[17,39]","[-1,-1]",[3],"[[0,1]]",2,"[14,29]","[-1,-1]",0,True
50,2,8,2,2,21236,2021284,202502036,10,5,3,15,"[17,39]","[-1,-1]",[3],"[[0,1]]",3,"[3,10,41]","[1,1,-1]",0,True
50,2,8,2,3,21236,2021284,202502037,10,7,1,7,"[17,39]","[-1,-1]",[3],"[[0,1]]",2,"[16,28]","[-1,1]",0,True
50,2,8,2,4,21236,2021284,202502038,10,6,2,12,"[17,39]","[-1,-1]",[3],"[[0,1]]",2,"[0,25]","[1,1]",0,True
50,2,8,2,5,21236,2021284,202502039,10,6,2,12,"[17,39]","[-1,-1]",[3],"[[0,1]]",2,"[21,29]","[1,-1]",0,True
100,2,2,2,1,21236,2021334,203001435,10,1,1,1,"[42,28]","[-1,-1]",[3],"[[0,1]]",1,[84],[-1],0,True
100,2,2,2,2,21236,2021334,203001436,10,1,1,1,"[42,28]","[-1,-1]",[3],"[[0,1]]",1,[4],[-1],0,True
100,2,2,2,3,21236,2021334,203001437,10,1,1,1,"[42,28]","[-1,-1]",[3],"[[0,1]]",1,[45],[-1],0,True
100,2,2,2,4,21236,2021334,203001438,10,1,1,1,"[42,28]","[-1,-1]",[3],"[[0,1]]",1,[75],[1],0,True
100,2,2,2,5,21236,2021334,203001439,10,1,1,1,"[42,28]","[-1,-1]",[3],"[[0,1]]",1,[36],[-1],0,True
100,2,4,2,1,21236,2021334,203001635,10,2,2,4,"[42,28]","[-1,-1]",[3],"[[0,1]]",1,[28],[-1],0,True
100,2,4,2,2,21236,2021334,203001636,10,3,1,3,"[42,28]","[-1,-1]",[3],"[[0,1]]",2,"[24,59]","[1,-1]",0,True
100,2,4,2,3,21236,2021334,203001637,10,2,2,4,"[42,28]","[-1,-1]",[3],"[[0,1]]",3,"[16,33,65]","[-1,-1,-1]",0,True
