regime,n,k,m,f_id,tb,support_true,signs_true,support_predicted,signs_predicted,support_tp,signed_tp,sign_errors
kmax10,10,3,8,15,1,"[0,2,7]","[1,-1,-1]","[0,9]","[-1,1]",1,0,1
kmax10,10,4,16,1,3,"[7,5,0,9]","[-1,-1,-1,1]","[0,1,2,6,9]","[-1,-1,-1,-1,-1]",2,1,1
kmax10,10,4,16,2,1,"[7,8,2,3]","[1,1,-1,1]","[1,2,5,6,8,9]","[1,-1,1,1,-1,1]",2,1,1
kmax10,50,4,8,2,5,"[11,6,8,37]","[1,1,-1,1]","[5,6,25,44]","[1,-1,-1,1]",1,0,1
kmax10,50,4,8,4,3,"[29,27,10,35]","[-1,-1,-1,-1]","[18,35,48]","[1,1,1]",1,0,1
kmax10,50,4,32,6,5,"[23,6,9,38]","[1,1,-1,-1]","[21,23,38,44,46]","[1,1,1,-1,1]",2,1,1
kmax10,50,4,16,8,4,"[12,13,3,42]","[-1,-1,1,-1]","[5,10,17,27,28,29,42,47]","[1,-1,1,1,-1,-1,1,1]",1,0,1
kmax10,10,4,16,11,2,"[2,9,8,5]","[1,-1,1,-1]","[0,3,4,5,6,9]","[-1,1,-1,1,1,-1]",2,1,1
kmax10,50,4,16,11,4,"[40,14,2,41]","[1,-1,1,-1]","[12,30,35,38,40,41,45]","[1,-1,1,-1,1,1,1]",2,1,1
kmax10,100,4,16,11,4,"[57,40,49,34]","[1,-1,1,-1]","[12,38,50,57,64,86]","[-1,-1,1,-1,1,-1]",1,0,1
kmax10,50,4,32,12,2,"[39,4,44,25]","[1,-1,1,-1]","[6,13,16,17,25,30,32,40]","[-1,1,1,1,1,-1,1,1]",1,0,1
kmax10,10,4,8,13,3,"[3,8,0,1]","[1,-1,-1,1]","[0,7,8,9]","[1,1,-1,1]",2,1,1
kmax10,100,4,16,13,4,"[87,80,82,51]","[1,-1,-1,1]","[38,52,57,74,87,94]","[-1,-1,1,1,-1,1]",1,0,1
kmax10,100,4,32,13,3,"[87,80,82,51]","[1,-1,-1,1]","[5,47,57,69,70,77,87]","[-1,-1,-1,-1,1,1,-1]",1,0,1
kmax10,10,4,16,14,1,"[0,7,3,6]","[1,1,-1,1]","[0,1,3,4,5,9]","[-1,1,-1,-1,-1,-1]",2,1,1
kmax10,100,4,8,14,4,"[73,71,25,5]","[1,1,-1,1]","[5,37]","[-1,-1]",1,0,1
kmax10,10,4,8,15,4,"[9,8,3,6]","[1,1,1,-1]","[1,2,3,8,9]","[-1,1,1,1,-1]",3,2,1
kmax10,10,4,16,15,4,"[9,8,3,6]","[1,1,1,-1]","[1,2,3,4,5,7,8]","[1,-1,-1,-1,-1,1,1]",2,1,1
kmax10,50,4,32,15,2,"[20,38,6,18]","[1,1,1,-1]","[2,5,6,7,11,30,34,36,45,49]","[-1,1,-1,1,1,-1,-1,1,1,1]",1,0,1
kmax10,50,5,16,1,2,"[34,28,45,46,41]","[-1,-1,-1,1,-1]","[8,17,28,36,45]","[-1,1,-1,-1,1]",2,1,1
kmax10,50,5,32,1,3,"[34,28,45,46,41]","[-1,-1,-1,1,-1]","[4,11,12,13,19,43,46]","[-1,1,-1,-1,-1,1,-1]",1,0,1
kmax10,100,5,32,1,4,"[14,40,35,72,67]","[-1,-1,-1,1,-1]","[10,15,22,66,72,75,76,85]","[-1,1,1,-1,-1,1,1,-1]",1,0,1
kmax10,10,5,64,3,2,"[5,3,9,4,1]","[-1,-1,1,1,-1]","[0,1,4,5,7,8,9]","[-1,1,-1,-1,1,1,1]",4,2,2
kmax10,100,5,64,3,3,"[95,74,82,66,24]","[-1,-1,1,1,-1]","[15,40,66,70,92,94,95,98]","[-1,1,-1,-1,-1,1,-1,1]",2,1,1
kmax10,10,5,16,4,5,"[3,4,8,1,0]","[-1,-1,-1,1,1]","[3,6,8,9]","[1,1,-1,1]",2,1,1
kmax10,100,5,32,4,3,"[57,38,4,24,71]","[-1,-1,-1,1,1]","[18,23,45,54,71,96]","[1,1,1,-1,-1,-1]",1,0,1
kmax10,100,5,64,4,1,"[57,38,4,24,71]","[-1,-1,-1,1,1]","[12,17,19,20,57,73,78,80,83,88]","[1,-1,-1,-1,1,-1,1,1,1,-1]",1,0,1
kmax10,10,5,16,5,2,"[9,3,0,4,2]","[1,1,-1,-1,-1]","[0,1,4,7]","[-1,-1,1,1]",2,1,1
kmax10,50,5,16,5,2,"[22,38,13,32,14]","[1,1,-1,-1,-1]","[18,19,29,32,38,41,44]","[-1,1,1,1,-1,-1,1]",2,0,2
kmax10,50,5,32,5,2,"[22,38,13,32,14]","[1,1,-1,-1,-1]","[2,4,14,25,28,31,35,45]","[-1,1,1,1,1,1,1,-1]",1,0,1
kmax10,100,5,64,5,1,"[77,21,57,55,61]","[1,1,-1,-1,-1]","[0,21,48,57,58,65,67,82,83,97]","[1,-1,1,-1,-1,-1,-1,-1,-1,-1]",2,1,1
kmax10,10,5,16,6,2,"[5,1,3,8,2]","[1,-1,-1,-1,-1]","[0,4,5,8]","[-1,1,-1,-1]",2,1,1
kmax10,50,5,16,6,3,"[36,17,35,44,14]","[1,-1,-1,-1,-1]","[12,30,35,44,46]","[1,1,1,-1,1]",2,1,1
